Wort;mentions_word;Bereich;SearchCluster;Notes;Region
waffenruh;202;Außenpolitik;Sicherheit;;
chtlingskind;202;Außenpolitik;Migration;;
pandemiebek;202;Außenpolitik;Corona;;
luftwaff;202;Außenpolitik;Sicherheit;;
gaza;201;Außenpolitik;Außenbeziehung;Land/Region;Palästinensische Gebiete
verbraucherinformation;201;Innenpolitik;;;
ebola;201;Sonst.;;;
taiwan;201;Außenpolitik;Außenbeziehung;Land/Region;Taiwan
asylpaket;200;Außenpolitik;Migration;;
drittstaatsangeh;200;Außenpolitik;Migration;;
bildungsinfrastruktur;199;Innenpolitik;;;
wirtschaftsentwickl;198;Innenpolitik;;;
linksextrem;198;Sonst.;;;
rohingya;198;Außenpolitik;Außenbeziehung;Land/Region;Rohingya
intensivstation;197;Außenpolitik;Corona;;
renteneintritt;197;Innenpolitik;;;
asyl-;197;Außenpolitik;Migration;;
kriminalstatist;197;Innenpolitik;;;
subventionsabbau;196;Innenpolitik;;;
transplantationsgesetz;196;Innenpolitik;;;
heterosexuell;196;Sonst.;;;
eunavfor;195;Außenpolitik;Sicherheit;EU-Angelegenheiten;
eeg-novell;194;Außenpolitik;Umwelt/Natur/Klima;;
analphabetismus;194;Innenpolitik;;;
endlagersuch;194;Außenpolitik;Umwelt/Natur/Klima;Energie;
hotspot;193;Außenpolitik;Migration;;
massenarbeitslos;193;Innenpolitik;;;
demokratief;193;Sonst.;;;
millenniumsentwicklungsziel;192;Sonst.;;;
arzneimittelversorg;191;Innenpolitik;;;
armutsgef;191;Innenpolitik;;;
portugies;190;Außenpolitik;Außenbeziehung;Land/Region;Portugal
seenot;190;Außenpolitik;Migration;;
wasserrahmenrichtlini;189;Innenpolitik;;;
erosion;189;Innenpolitik;Landwirtschaft;;
bioenergi;189;Außenpolitik;Umwelt/Natur/Klima;Energie;
naturnah;188;Außenpolitik;Umwelt/Natur/Klima;;
emissionszertifikat;188;Außenpolitik;Umwelt/Natur/Klima;;
tierversuch;187;Innenpolitik;;;
landwirtschaftspolit;187;Innenpolitik;Landwirtschaft;;
kongoles;186;Außenpolitik;Außenbeziehung;Land/Region;
gaddafi;185;Außenpolitik;Außenbeziehung;Land/Region;Libyen
wohnungsnot;185;Innenpolitik;;;
investitionsschutz;185;Innenpolitik;;;
coronazeit;183;Außenpolitik;Corona;;
temperatur;183;Außenpolitik;Umwelt/Natur/Klima;;
sexualstrafrecht;183;Innenpolitik;;;
energiemarkt;183;Außenpolitik;Umwelt/Natur/Klima;Energie;
